equipo,estadio,ciudad,capacidad,afluencia_media,entrenador_inicial,presupuesto
Alaves,Mendizorroza,Vitoria,19840,16000,Abelardo_Fernandez,30000000
Arsenal,Emirates_Stadium,London,60260,55000,Unai_Emery,200000000
Ath_Bilbao,San_Mames,Bilbao,53289,45000,Eduardo_Berizzo,50000000
Ath_Madrid,Wanda_Metropolitano,Madrid,68456,58000,Diego_Simeone,120000000
Barcelona,Camp_Nou,Barcelona,99354,85000,Ernesto_Valverde,220000000
Betis,Benito_Villamarin,Seville,60720,50000,Quique_Setien,40000000
Bournemouth,Vitality_Stadium,Bournemouth,11364,10000,Eddie_Howe,25000000
Brighton,Amex_Stadium,Brighton,30750,28000,Chris_Hughton,30000000
Burnley,Turf_Moor,Burnley,21401,18000,Sean_Dyche,35000000
Cardiff,Cardiff_City_Stadium,Cardiff,33316,30000,Neil_Warnock,20000000
Celta,Balaidos,Vigo,29000,25000,Antonio_Mohamed,40000000
Chelsea,Stamford_Bridge,London,41841,40000,Maurizio_Sarri,180000000
Crystal_Palace,Selhurst_Park,London,25500,22000,Roy_Hodgson,35000000
Eibar,Ipurua,Eibar,8164,6500,Jose_Luis_Mendilibar,15000000
Espanol,RCDE_Stadium,Barcelona,40500,30000,Rubi,50000000
Everton,Goodison_Park,Liverpool,39202,35000,Marco_Silva,70000000
Fulham,Craven_Cottage,London,25700,24000,Slavisa_Jokanovic,30000000
Getafe,Coliseum_Alfonso_Perez,Getafe,17393,14000,Jose_Bordalas,25000000
Girona,Montilivi,Girona,18000,14500,Tomas_Garcia,18000000
Huddersfield,Kirklees_Stadium,Huddersfield,24500,22000,David_Wagner,20000000
Huesca,El_Alcoraz,Huesca,7638,5000,Leo_Franco,15000000
Leganes,Butarque,Leganes,12450,10000,Mauricio_Pellegrino,22000000
Leicester,King_Power_Stadium,Leicester,32312,30000,Claude_Puel,80000000
Levante,Estadio_Ciutat_de_Valencia,Valencia,26354,22000,Paco_Lopez,35000000
Liverpool,Anfield,Liverpool,53394,50000,Jurgen_Klopp,200000000
Man_City,Etihad_Stadium,Manchester,53097,48000,Pep_Guardiola,250000000
Man_United,Old_Trafford,Manchester,74994,70000,Jose_Mourinho,180000000
Newcastle,St_James'_Park,Newcastle,52354,50000,Rafa_Benitez,40000000
Real_Madrid,Santiago_Bernabeu,Madrid,81044,70000,Julen_Lopetegui,120000000
Sevilla,Ramon_Sanchez_Pizjuan,Seville,43883,35000,Pablo_Machin,75000000
Sociedad,Anoeta,San_Sebastian,39500,28000,Asier_Garitano,60000000
Southampton,St_Mary's_Stadium,Southampton,32505,30000,Mark_Hughes,45000000
Tottenham,Tottenham_Hotspur_Stadium,London,62062,58000,Mauricio_Pochettino,200000000
Valencia,Mestalla,Valencia,55000,42000,Marcelino_Garcia_Toral,90000000
Valladolid,Jose_Zorrilla,Valladolid,26512,20000,Sergio_Gonzalez,30000000
Vallecano,Campo_de_Vallecas,Madrid,14708,12000,Michel,25000000
Villarreal,Estadio_de_la_Ceramica,Villarreal,23500,18000,Javier_Calleja,70000000
Watford,Vicarage_Road,Watford,23200,20000,Javi_Gracia,40000000
West_Ham,London_Stadium,London,60000,55000,Manuel_Pellegrini,120000000
Wolves,Molineux_Stadium,Wolverhampton,31612,30000,Nuno_Espirito_Santo,60000000
